time start,time end,duration (s),source address,destination address,source port,destination port ,protocol,flags,packets,bytes
2020-04-28 14:43:16,2020-04-28 14:43:16,0.143,193.136.126.43,209.17.96.186,80,63108,TCP,.A..S.,1,44
2020-04-28 14:43:16,2020-04-28 14:43:16,0.143,209.17.96.186,193.136.126.43,63108,80,TCP,...RS.,2,92
2020-04-28 14:43:17,2020-04-28 14:43:17,0.004,10.130.16.46,193.136.126.43,80,58865,TCP,.AP.SF,5,665
2020-04-28 14:43:17,2020-04-28 14:43:17,0.004,193.136.126.43,10.130.16.46,58865,80,TCP,.AP.SF,6,811
2020-04-28 14:43:18,2020-04-28 14:43:20,1.480,54.175.144.198,193.136.126.43,30494,443,TCP,.AP.SF,15,1530
2020-04-28 14:43:18,2020-04-28 14:43:20,1.480,193.136.126.43,54.175.144.198,443,30494,TCP,.AP.SF,12,14079
2020-04-28 14:43:19,2020-04-28 14:43:29,10.259,177.89.164.47,193.136.126.43,56720,443,TCP,.AP.SF,33,5034
2020-04-28 14:43:19,2020-04-28 14:43:29,10.259,193.136.126.43,177.89.164.47,443,56720,TCP,.AP.SF,26,133158
2020-04-28 14:43:19,2020-04-28 14:43:20,0.651,10.130.16.46,193.136.126.43,80,58868,TCP,.AP.SF,10,8389
2020-04-28 14:43:19,2020-04-28 14:43:20,0.651,193.136.126.43,10.130.16.46,58868,80,TCP,.AP.SF,10,901
2020-04-28 14:43:20,2020-04-28 14:43:25,5.198,10.130.16.46,193.136.126.43,80,58871,TCP,.AP.SF,34,32451
2020-04-28 14:43:20,2020-04-28 14:43:25,5.198,193.136.126.43,10.130.16.46,58871,80,TCP,.AP.SF,35,3081
2020-04-28 14:43:20,2020-04-28 14:44:26,65.243,77.54.111.33,193.136.126.43,51174,443,TCP,.AP.SF,23,2345
2020-04-28 14:43:20,2020-04-28 14:44:26,65.243,193.136.126.43,77.54.111.33,443,51174,TCP,.APRSF,19,17202
2020-04-28 14:43:20,2020-04-28 14:43:20,0.032,10.130.16.46,193.136.126.43,80,58873,TCP,.AP.SF,12,11222
2020-04-28 14:43:20,2020-04-28 14:43:20,0.032,193.136.126.43,10.130.16.46,58873,80,TCP,.AP.SF,12,1069
2020-04-28 14:43:21,2020-04-28 14:43:22,1.806,46.229.168.135,193.136.126.43,12636,443,TCP,.APRSF,16,1661
2020-04-28 14:43:21,2020-04-28 14:43:22,1.806,193.136.126.43,46.229.168.135,443,12636,TCP,.AP.SF,11,16907
2020-04-28 14:43:21,2020-04-28 14:43:23,1.663,10.130.16.46,193.136.126.43,80,58876,TCP,.AP.SF,89,125352
2020-04-28 14:43:21,2020-04-28 14:43:23,1.663,193.136.126.43,10.130.16.46,58876,80,TCP,.AP.SF,61,4592
2020-04-28 14:43:22,2020-04-28 14:43:31,9.281,88.99.250.124,193.136.126.43,46090,443,TCP,.AP.SF,17,1732
2020-04-28 14:43:22,2020-04-28 14:43:31,9.281,193.136.126.43,88.99.250.124,443,46090,TCP,.AP.SF,12,14438
2020-04-28 14:43:22,2020-04-28 14:43:39,17.095,177.89.164.47,193.136.126.43,56724,443,TCP,.AP.SF,45,5470
2020-04-28 14:43:22,2020-04-28 14:43:39,17.095,193.136.126.43,177.89.164.47,443,56724,TCP,.AP.SF,37,253987
2020-04-28 14:43:22,2020-04-28 14:43:29,7.031,177.89.164.47,193.136.126.43,56725,443,TCP,.AP.SF,22,3385
2020-04-28 14:43:22,2020-04-28 14:43:29,7.031,193.136.126.43,177.89.164.47,443,56725,TCP,.AP.SF,20,58134
2020-04-28 14:43:23,2020-04-28 14:43:25,2.378,10.130.16.46,193.136.126.43,80,58885,TCP,.AP.SF,25,30957
2020-04-28 14:43:23,2020-04-28 14:43:25,2.378,193.136.126.43,10.130.16.46,58885,80,TCP,.AP.SF,22,1627
2020-04-28 14:43:25,2020-04-28 14:43:26,1.517,54.175.144.198,193.136.126.43,30998,443,TCP,.AP.SF,15,1530
2020-04-28 14:43:25,2020-04-28 14:43:26,1.517,193.136.126.43,54.175.144.198,443,30998,TCP,.AP.SF,12,14071
2020-04-28 14:43:25,2020-04-28 14:43:26,0.708,10.130.16.46,193.136.126.43,80,58888,TCP,.AP.SF,10,8381
2020-04-28 14:43:25,2020-04-28 14:43:26,0.708,193.136.126.43,10.130.16.46,58888,80,TCP,.AP.SF,10,901
2020-04-28 14:43:26,2020-04-28 14:44:17,50.968,95.94.21.109,193.136.126.43,61197,443,TCP,.APRS.,13,2593
2020-04-28 14:43:26,2020-04-28 14:44:17,50.968,193.136.126.43,95.94.21.109,443,61197,TCP,.AP.S.,10,7553
2020-04-28 14:43:26,2020-04-28 14:43:26,0.002,10.130.16.46,193.136.126.43,80,58890,TCP,.AP.SF,5,763
2020-04-28 14:43:26,2020-04-28 14:43:26,0.002,193.136.126.43,10.130.16.46,58890,80,TCP,.AP.SF,5,1072
2020-04-28 14:43:26,2020-04-28 14:43:27,0.817,95.94.21.109,193.136.126.43,61198,443,TCP,.AP.SF,12,1828
2020-04-28 14:43:26,2020-04-28 14:43:27,0.817,193.136.126.43,95.94.21.109,443,61198,TCP,.AP.SF,10,14286
2020-04-28 14:43:26,2020-04-28 14:43:27,0.722,10.130.16.46,193.136.126.43,80,58892,TCP,.AP.SF,10,8787
2020-04-28 14:43:26,2020-04-28 14:43:27,0.722,193.136.126.43,10.130.16.46,58892,80,TCP,.AP.SF,10,1445
2020-04-28 14:43:26,2020-04-28 14:43:29,2.250,10.130.16.46,193.136.126.43,80,58894,TCP,.AP.SF,16,14766
2020-04-28 14:43:26,2020-04-28 14:43:29,2.250,193.136.126.43,10.130.16.46,58894,80,TCP,.AP.SF,16,1475
2020-04-28 14:43:26,2020-04-28 14:43:27,0.444,10.130.16.46,193.136.126.43,80,58896,TCP,.AP.SF,30,35829
2020-04-28 14:43:26,2020-04-28 14:43:27,0.444,193.136.126.43,10.130.16.46,58896,80,TCP,.AP.SF,25,2835
2020-04-28 14:43:27,2020-04-28 14:43:29,2.449,177.89.164.47,193.136.126.43,56728,443,TCP,.AP.SF,15,1978
2020-04-28 14:43:27,2020-04-28 14:43:29,2.449,193.136.126.43,177.89.164.47,443,56728,TCP,.AP.SF,10,16241
2020-04-28 14:43:27,2020-04-28 14:43:29,2.441,177.89.164.47,193.136.126.43,56729,443,TCP,.AP.SF,10,1129
2020-04-28 14:43:27,2020-04-28 14:43:29,2.441,193.136.126.43,177.89.164.47,443,56729,TCP,.AP.SF,7,5735
2020-04-28 14:43:27,2020-04-28 14:43:30,3.178,10.130.16.46,193.136.126.43,80,58900,TCP,.AP.SF,225,319288
2020-04-28 14:43:27,2020-04-28 14:43:30,3.178,193.136.126.43,10.130.16.46,58900,80,TCP,.AP.SF,151,11269
2020-04-28 14:43:27,2020-04-28 14:43:31,3.652,10.130.16.46,193.136.126.43,80,58902,TCP,.AP.SF,31,38644
2020-04-28 14:43:27,2020-04-28 14:43:31,3.652,193.136.126.43,10.130.16.46,58902,80,TCP,.AP.SF,27,2390
2020-04-28 14:43:27,2020-04-28 14:43:29,1.858,46.229.168.153,193.136.126.43,12480,443,TCP,.APRSF,18,1719
2020-04-28 14:43:27,2020-04-28 14:43:29,1.858,193.136.126.43,46.229.168.153,443,12480,TCP,.AP.SF,11,11905
2020-04-28 14:43:27,2020-04-28 14:43:29,2.214,177.89.164.47,193.136.126.43,56732,443,TCP,.AP.SF,10,1129
2020-04-28 14:43:27,2020-04-28 14:43:29,2.214,193.136.126.43,177.89.164.47,443,56732,TCP,.AP.SF,7,5735
2020-04-28 14:43:27,2020-04-28 14:43:29,1.336,157.55.39.226,193.136.126.43,6333,443,TCP,219,18,1515
2020-04-28 14:43:27,2020-04-28 14:43:29,1.336,193.136.126.43,157.55.39.226,443,6333,TCP,.AP.SF,14,57811
2020-04-28 14:43:29,2020-04-28 14:43:39,10.067,177.89.164.47,193.136.126.43,56733,443,TCP,.AP.SF,14,1932
2020-04-28 14:43:29,2020-04-28 14:43:39,10.067,193.136.126.43,177.89.164.47,443,56733,TCP,.AP.SF,10,18118
2020-04-28 14:43:29,2020-04-28 14:43:39,10.088,177.89.164.47,193.136.126.43,56734,443,TCP,.AP.SF,17,2090
2020-04-28 14:43:29,2020-04-28 14:43:39,10.088,193.136.126.43,177.89.164.47,443,56734,TCP,.AP.SF,10,18094
2020-04-28 14:43:29,2020-04-28 14:43:39,10.093,177.89.164.47,193.136.126.43,56735,443,TCP,.AP.SF,9,1733
2020-04-28 14:43:29,2020-04-28 14:43:39,10.093,193.136.126.43,177.89.164.47,443,56735,TCP,.AP.SF,8,6508
2020-04-28 14:43:29,2020-04-28 14:43:29,0.036,66.249.81.103,193.136.126.43,39608,80,TCP,.A...F,1,52
2020-04-28 14:43:29,2020-04-28 14:43:29,0.036,193.136.126.43,66.249.81.103,80,39608,TCP,.A...F,2,104
2020-04-28 14:43:29,2020-04-28 14:43:29,0.036,66.249.81.122,193.136.126.43,42186,443,TCP,.A...F,2,104
2020-04-28 14:43:29,2020-04-28 14:43:29,0.036,193.136.126.43,66.249.81.122,443,42186,TCP,.AP..F,3,187
2020-04-28 14:43:30,2020-04-28 14:43:39,9.526,177.89.164.47,193.136.126.43,56741,443,TCP,.AP.SF,8,1037
2020-04-28 14:43:30,2020-04-28 14:43:39,9.526,193.136.126.43,177.89.164.47,443,56741,TCP,.AP.SF,7,5735
2020-04-28 14:43:30,2020-04-28 14:43:31,0.870,95.94.21.109,193.136.126.43,61209,443,TCP,.AP.SF,12,1828
2020-04-28 14:43:30,2020-04-28 14:43:31,0.870,193.136.126.43,95.94.21.109,443,61209,TCP,.AP.SF,10,14289
2020-04-28 14:43:31,2020-04-28 14:43:33,2.214,10.130.16.46,193.136.126.43,80,58919,TCP,.AP.SF,16,15554
2020-04-28 14:43:31,2020-04-28 14:43:33,2.214,193.136.126.43,10.130.16.46,58919,80,TCP,.AP.SF,16,1416
2020-04-28 14:43:31,2020-04-28 14:43:33,1.923,54.175.144.198,193.136.126.43,31496,443,TCP,.AP.SF,17,1621
2020-04-28 14:43:31,2020-04-28 14:43:33,1.923,193.136.126.43,54.175.144.198,443,31496,TCP,.AP.SF,12,20508
2020-04-28 14:43:32,2020-04-28 14:44:17,45.008,85.242.12.253,193.136.126.43,61001,443,TCP,.A....,2,92
2020-04-28 14:43:32,2020-04-28 14:44:17,45.008,193.136.126.43,85.242.12.253,443,61001,TCP,.A.R..,2,80
2020-04-28 14:43:32,2020-04-28 14:44:17,45.008,85.242.12.253,193.136.126.43,61005,443,TCP,.A....,2,92
2020-04-28 14:43:32,2020-04-28 14:44:17,45.008,193.136.126.43,85.242.12.253,443,61005,TCP,.A.R..,2,80
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,85.242.12.253,193.136.126.43,61002,443,TCP,.A....,2,92
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,193.136.126.43,85.242.12.253,443,61002,TCP,.A.R..,2,80
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,85.242.12.253,193.136.126.43,61007,443,TCP,.A....,2,92
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,193.136.126.43,85.242.12.253,443,61007,TCP,.A.R..,2,80
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,85.242.12.253,193.136.126.43,61004,443,TCP,.A....,2,92
2020-04-28 14:43:32,2020-04-28 14:44:17,45.007,193.136.126.43,85.242.12.253,443,61004,TCP,.A.R..,2,80
2020-04-28 14:43:33,2020-04-28 14:43:33,0.002,10.130.16.46,193.136.126.43,80,58925,TCP,.AP.SF,5,665
2020-04-28 14:43:33,2020-04-28 14:43:33,0.002,193.136.126.43,10.130.16.46,58925,80,TCP,.AP.SF,5,759
2020-04-28 14:43:33,2020-04-28 14:43:33,0.030,10.130.16.46,193.136.126.43,80,58929,TCP,.AP.SF,5,627
2020-04-28 14:43:33,2020-04-28 14:43:33,0.030,193.136.126.43,10.130.16.46,58929,80,TCP,.AP.SF,5,595
2020-04-28 14:43:33,2020-04-28 14:44:39,65.226,2.80.15.173,193.136.126.43,59803,443,TCP,.APRS.,12,1336
2020-04-28 14:43:33,2020-04-28 14:44:39,65.226,193.136.126.43,2.80.15.173,443,59803,TCP,.AP.SF,8,10571
2020-04-28 14:43:34,2020-04-28 14:43:40,6.754,2.80.15.173,193.136.126.43,63151,443,TCP,.AP.SF,10,2085
2020-04-28 14:43:34,2020-04-28 14:43:40,6.754,193.136.126.43,2.80.15.173,443,63151,TCP,.AP.SF,9,15886
2020-04-28 14:43:34,2020-04-28 14:43:40,6.750,2.80.15.173,193.136.126.43,63468,443,TCP,.AP.SF,9,1083
2020-04-28 14:43:34,2020-04-28 14:43:40,6.750,193.136.126.43,2.80.15.173,443,63468,TCP,.AP.SF,7,5735
2020-04-28 14:43:35,2020-04-28 14:43:35,0.028,66.249.76.57,193.136.126.43,61685,443,TCP,.A...F,2,104
2020-04-28 14:43:35,2020-04-28 14:43:35,0.028,193.136.126.43,66.249.76.57,443,61685,TCP,.AP..F,3,187
2020-04-28 14:43:36,2020-04-28 14:43:37,0.832,10.130.16.46,193.136.126.43,80,58935,TCP,.AP.SF,15,11762
